all_joint_vertical_range_baseline,all_joint_vertical_range_lora,all_joint_vertical_range_lora_minus_baseline,arm_motion_range_baseline,arm_motion_range_lora,arm_motion_range_lora_minus_baseline,duration_sec_baseline,duration_sec_lora,duration_sec_lora_minus_baseline,fps_baseline,fps_lora,fps_lora_minus_baseline,frames_baseline,frames_lora,frames_lora_minus_baseline,mean_joint_acceleration_baseline,mean_joint_acceleration_lora,mean_joint_acceleration_lora_minus_baseline,mean_joint_jerk_baseline,mean_joint_jerk_lora,mean_joint_jerk_lora_minus_baseline,mean_joint_velocity_baseline,mean_joint_velocity_lora,mean_joint_velocity_lora_minus_baseline,prompt_index,root_height_mean_baseline,root_height_mean_lora,root_height_mean_lora_minus_baseline,root_path_length_baseline,root_path_length_lora,root_path_length_lora_minus_baseline,root_rotation_amount_baseline,root_rotation_amount_lora,root_rotation_amount_lora_minus_baseline,root_speed_mean_baseline,root_speed_mean_lora,root_speed_mean_lora_minus_baseline,root_vertical_range_baseline,root_vertical_range_lora,root_vertical_range_lora_minus_baseline
1.5864133780575695,1.5864133780575695,0.0,2.8241553403568105,2.8241553403568105,0.0,2.3999040000000003,2.3999040000000003,0.0,120.00480019200768,120.00480019200768,0.0,288.0,288.0,0.0,9.369430702226778,9.369430702226778,0.0,958.2818907548609,958.2818907548609,0.0,1.306378149041487,1.306378149041487,0.0,0,0.8625654305555557,0.8625654305555557,0.0,2.7831414028287877,2.7831414028287877,0.0,108.847872,108.847872,0.0,1.1637293656884062,1.1637293656884062,0.0,0.104931,0.104931,0.0
1.5825766159235812,1.5788537826300961,-0.003722833293485106,2.8130267573112935,3.2068701915210807,0.3938434342097872,9.399624,9.799608000000001,0.39998400000000167,120.00480019200768,120.00480019200768,0.0,1128.0,1176.0,48.0,1.6773763579201681,1.899612798201538,0.2222364402813699,168.05588471222947,193.64682324979236,25.59093853756289,0.1995574142232282,0.17774369431325396,-0.021813719909974244,1,0.9017504441489361,0.9093116445578233,0.007561200408887192,1.470450985941576,1.119952199575953,-0.35049878636562304,266.00159199999996,203.548114,-62.45347799999996,0.1565760219698842,0.11438267228486104,-0.04219334968502317,0.04627099999999995,0.03848799999999997,-0.007782999999999984
1.5763259983926992,1.5754246421245344,-0.000901356268164788,3.3806547721981435,3.174054763277006,-0.2066000089211375,9.799608000000001,9.799608000000001,0.0,120.00480019200768,120.00480019200768,0.0,1176.0,1176.0,0.0,4.1053501832551555,3.7005252239858493,-0.4048249592693063,428.0966682374835,380.3837431476089,-47.7129250898746,0.3117094568626087,0.27814760300944646,-0.03356185385316224,2,0.7185645782312925,0.7205731096938776,0.0020085314625850614,2.4213285270485194,2.0313192241410274,-0.39000930290749203,226.988713,258.971121,31.982407999999992,0.24729450730865182,0.2074621766972153,-0.03983233061143651,0.354873,0.357436,0.002562999999999982
2.048896358788306,2.0560407995312837,0.007144440742977931,4.026313346217249,4.016798201170756,-0.009515145046492535,3.599856,3.599856,0.0,120.00480019200768,120.00480019200768,0.0,432.0,432.0,0.0,8.644344033715733,8.505121946176429,-0.13922208753930398,728.3403425723639,720.0106686634772,-8.329673908886662,0.7716521706699991,0.7676519741915157,-0.0040001964784834865,3,0.8870591875,0.888778886574074,0.0017196990740739881,1.0526899038052457,1.0727096328470629,0.020019729041817147,95.901008,104.01277799999997,8.111769999999964,0.29310404076633945,0.29867820221311764,0.005574161446778192,0.543908,0.5465880000000001,0.0026800000000001267
1.5855127902030062,1.5819421425610434,-0.0035706476419627986,3.0575361807888024,2.9294652006058723,-0.12807098018293006,5.199792,9.799608000000001,4.599816000000001,120.00480019200768,120.00480019200768,0.0,624.0,1176.0,552.0,7.963582236057096,15.792581668252996,7.8289994321959,812.6378643243735,1520.96413173866,708.3262674142865,0.97542620510221,1.7679775743466166,0.7925513692444066,4,0.8819107131410256,0.8411189761904763,-0.040791736950549384,4.409830063248285,15.276736031025774,10.866905967777488,296.246804,700.691631,404.44482700000003,0.8494394472244287,1.5602397063738662,0.7108002591494376,0.105402,0.16300199999999998,0.057599999999999985
1.588556296028559,1.5878065522525917,-0.0007497437759673709,2.2253581511142313,2.2171442863879953,-0.008213864726235975,8.199672,8.199672,0.0,120.00480019200768,120.00480019200768,0.0,984.0,984.0,0.0,1.8737813324919173,1.809638368593331,-0.0641429638985862,190.84259876565972,185.13479908444967,-5.707799681210048,0.26518810642465424,0.2594795252084535,-0.005708581216200714,5,0.9121784786585366,0.912256281504065,7.780284552838523e-05,2.0208255855092525,1.9827773917771254,-0.03804819373212709,48.704906,49.15129199999999,0.44638599999998974,0.24670271679749214,0.2420577871062503,-0.004644929691241834,0.03797499999999998,0.031725,-0.006249999999999978
1.7949561659074889,1.7098701123665616,-0.08508605354092724,4.009306582276267,3.9032249425249073,-0.10608163975135954,8.399664,9.199632,0.7999679999999998,120.00480019200768,120.00480019200768,0.0,1008.0,1104.0,96.0,5.791286076514404,6.653460536398242,0.8621744598838381,573.1027931675259,661.7233193891057,88.62052622157978,0.5436428181867842,0.48026319098039827,-0.0633796272063859,6,0.9157961140873015,0.9284482219202898,0.012652107832988202,1.857169300272996,2.373094924495369,0.5159256242223731,238.122022,348.48495,110.36292800000004,0.2213199908659301,0.2581892858120892,0.03686929494615912,0.08709,0.10122900000000001,0.014139000000000013
1.5796675400194997,1.5782791691096514,-0.0013883709098483354,2.5968817095641565,3.066819921000956,0.4699382114367996,5.199792,9.799608000000001,4.599816000000001,120.00480019200768,120.00480019200768,0.0,624.0,1176.0,552.0,2.8957391844552944,4.608569898942826,1.7128307144875317,296.81593994667577,462.1212543188452,165.30531437216945,0.21066240614648743,0.3500314561325412,0.1393690499860538,7,0.8608325592948719,0.7739912695578232,-0.08684128973704874,0.7115018129615059,2.229979016262706,1.5184772033012002,69.58566400000001,205.73911499999997,136.15345099999996,0.1370523802579402,0.22775164789700073,0.09069926763906053,0.09574399999999994,0.257676,0.16193200000000008
1.8149835467351607,1.7331843252538035,-0.08179922148135721,2.565785554539639,2.2961415147759094,-0.26964403976372964,3.199872,2.99988,-0.19999199999999995,120.00480019200768,120.00480019200768,0.0,384.0,360.0,-24.0,12.609918019193874,10.287465442233277,-2.322452576960597,1085.3420368739696,898.0720683728098,-187.26996850115984,0.8097608793293497,0.6537097294136316,-0.1560511499157181,8,0.9367279192708334,0.9182593694444444,-0.018468549826389014,0.4838661293407437,0.40687303888154347,-0.07699309045920022,54.87338799999999,28.325381,-26.54800699999999,0.15160902916766603,0.1360075702910713,-0.015601458876594726,0.40308599999999994,0.3160529999999999,-0.08703300000000003
1.5953498073603438,1.5938475176355413,-0.0015022897248024858,3.0412274764747793,3.1696830171921415,0.1284555407173622,6.599736,9.799608000000001,3.199872000000001,120.00480019200768,120.00480019200768,0.0,792.0,1176.0,384.0,5.559245150784454,7.6850702653396175,2.1258251145551634,606.3286968549302,800.5900565403457,194.26135968541553,0.6141913171582913,0.8329280265733323,0.21873670941504098,9,0.9149150972222222,0.901357256802721,-0.013557840419501144,3.1824150779585128,6.710173878774883,3.5277588008163705,352.7830650000001,327.412594,-25.370471000000066,0.48281300323444226,0.6853217664476673,0.20250876321322503,0.08533000000000002,0.08144000000000007,-0.003889999999999949
