all_joint_vertical_range_delta_pct,arm_motion_range_delta_pct,case,duration_sec_delta_pct,mean_joint_acceleration_delta_pct,mean_joint_jerk_delta_pct,mean_joint_velocity_delta_pct,prompt,root_height_mean_delta_pct,root_rotation_amount_delta_pct,root_speed_mean_delta_pct,root_vertical_range_delta_pct,style_proxy_total,style_proxy_win_rate,style_proxy_wins
,,slow_deliberate,,3.423182992931374,2.9908415197273617,2.152653560963017,A person walks forward slowly and deliberately.,,,1.8828044342351773,,4,1.0,4
,-2.645884957271891,graceful_dance,,,-15.463286390871728,,A person performs a graceful dance motion.,,46.34721605043319,,16.2349293833965,4,0.5,2
,18.096250195226293,tai_chi,88.46153846153847,,,,A person moves like doing tai chi.,,195.66307652104885,-66.17854244366968,,4,0.75,3
-4.506885014384828,-10.509219653476066,energetic_jump,,-18.417665946959634,,-19.271263146839214,A person jumps energetically.,,,-10.290586888028225,-21.591670263913915,6,0.0,0
,,heavy_tired,,,-32.03895192377714,-35.61377429219949,A person walks in a tired and heavy style.,1.4818686958674268,,-41.943518889629345,,4,0.25,1
