all_joint_vertical_range_baseline,all_joint_vertical_range_lora,all_joint_vertical_range_lora_minus_baseline,arm_motion_range_baseline,arm_motion_range_lora,arm_motion_range_lora_minus_baseline,duration_sec_baseline,duration_sec_lora,duration_sec_lora_minus_baseline,fps_baseline,fps_lora,fps_lora_minus_baseline,frames_baseline,frames_lora,frames_lora_minus_baseline,mean_joint_acceleration_baseline,mean_joint_acceleration_lora,mean_joint_acceleration_lora_minus_baseline,mean_joint_jerk_baseline,mean_joint_jerk_lora,mean_joint_jerk_lora_minus_baseline,mean_joint_velocity_baseline,mean_joint_velocity_lora,mean_joint_velocity_lora_minus_baseline,prompt_index,root_height_mean_baseline,root_height_mean_lora,root_height_mean_lora_minus_baseline,root_path_length_baseline,root_path_length_lora,root_path_length_lora_minus_baseline,root_rotation_amount_baseline,root_rotation_amount_lora,root_rotation_amount_lora_minus_baseline,root_speed_mean_baseline,root_speed_mean_lora,root_speed_mean_lora_minus_baseline,root_vertical_range_baseline,root_vertical_range_lora,root_vertical_range_lora_minus_baseline
1.5864133780575695,1.5839000787304087,-0.002513299327160823,2.8241553403568105,2.616268724287822,-0.2078866160689885,2.3999040000000003,6.199752,3.799848,120.00480019200768,120.00480019200768,0.0,288.0,744.0,456.0,9.369430702226778,5.403363567143328,-3.966067135083449,958.2818907548609,550.6044269259199,-407.677463828941,1.306378149041487,0.6132630005497505,-0.6931151484917365,0,0.8625654305555557,0.900155818548387,0.03759038799283132,2.7831414028287877,3.3949169782524375,0.6117755754236498,108.847872,132.34384899999998,23.495976999999982,1.1637293656884062,0.5483261556441968,-0.6154032100442094,0.104931,0.05427099999999996,-0.05066000000000004
1.5825766159235812,1.5826873261623207,0.00011071023873943098,2.8130267573112935,2.9236179401917077,0.11059118288041425,9.399624,6.599736,-2.7998879999999993,120.00480019200768,120.00480019200768,0.0,1128.0,792.0,-336.0,1.6773763579201681,4.756177429523983,3.0788010716038148,168.05588471222947,466.6537803627898,298.5978956505603,0.1995574142232282,0.49611915045997695,0.29656173623674875,1,0.9017504441489361,0.9091003333333334,0.007349889184397274,1.470450985941576,2.3676303852880136,0.8971793993464376,266.00159199999996,287.9059099999999,21.904317999999932,0.1565760219698842,0.35919976146019494,0.20262373949031073,0.04627099999999995,0.05840299999999998,0.012132000000000032
1.5763259983926992,1.577385795545934,0.0010597971532348982,3.3806547721981435,3.198542195332498,-0.18211257686564553,9.799608000000001,9.799608000000001,0.0,120.00480019200768,120.00480019200768,0.0,1176.0,1176.0,0.0,4.1053501832551555,3.795737047568544,-0.3096131356866114,428.0966682374835,405.30287495291196,-22.793793284571564,0.3117094568626087,0.2801003120838922,-0.031609144778716514,2,0.7185645782312925,0.7224771420068026,0.003912563775510081,2.4213285270485194,1.9639818203843304,-0.457346706664189,226.988713,286.13691300000005,59.14820000000006,0.24729450730865182,0.20058489015826136,-0.04670961715039046,0.354873,0.35153899999999993,-0.003334000000000059
2.048896358788306,2.1857927551500134,0.13689639636170758,4.026313346217249,3.811337588890441,-0.21497575732680785,3.599856,2.799888,-0.7999679999999998,120.00480019200768,120.00480019200768,0.0,432.0,336.0,-96.0,8.644344033715733,13.614981370802173,4.9706373370864405,728.3403425723639,1221.9454755115323,493.60513293916847,0.7716521706699991,1.100712169139727,0.3290599984697279,3,0.8870591875,0.8441331130952382,-0.042926074404761816,1.0526899038052457,1.1029693312139657,0.050279427408719934,95.901008,47.16967699999999,-48.73133100000001,0.29310404076633945,0.3951092961499829,0.10200525538364347,0.543908,0.613847,0.06993900000000008
1.5855127902030062,1.5855127902030062,0.0,3.0575361807888024,3.0575361807888024,0.0,5.199792,5.199792,0.0,120.00480019200768,120.00480019200768,0.0,624.0,624.0,0.0,7.963582236057096,7.963582236057096,0.0,812.6378643243735,812.6378643243735,0.0,0.97542620510221,0.97542620510221,0.0,4,0.8819107131410256,0.8819107131410256,0.0,4.409830063248285,4.409830063248285,0.0,296.246804,296.246804,0.0,0.8494394472244287,0.8494394472244287,0.0,0.105402,0.105402,0.0
1.588556296028559,1.5875725772304339,-0.0009837187981251994,2.2253581511142313,2.2325894377227558,0.0072312866085244565,8.199672,8.199672,0.0,120.00480019200768,120.00480019200768,0.0,984.0,984.0,0.0,1.8737813324919173,1.8603593510123244,-0.013421981479592837,190.84259876565972,188.37512454757263,-2.4674742180870908,0.26518810642465424,0.26533126176839933,0.00014315534374509387,5,0.9121784786585366,0.912243593495935,6.511483739835011e-05,2.0208255855092525,2.0231480253204106,0.0023224398111580946,48.704906,47.52895600000001,-1.1759499999999932,0.24670271679749214,0.24698624062810856,0.00028352383061641673,0.03797499999999998,0.0383119999999999,0.0003369999999999207
1.7949561659074889,1.840337349887651,0.04538118398016211,4.009306582276267,3.6774421235148242,-0.33186445876144255,8.399664,4.199832,-4.199832,120.00480019200768,120.00480019200768,0.0,1008.0,504.0,-504.0,5.791286076514404,8.28752455112772,2.4962384746133166,573.1027931675259,848.0412385742378,274.93844540671193,0.5436428181867842,0.6355718065371778,0.09192898835039365,6,0.9157961140873015,0.8985128353174603,-0.01728327876984126,1.857169300272996,1.3799126027193762,-0.4772566975536199,238.122022,243.91156500000002,5.789543000000037,0.2213199908659301,0.3292169705204216,0.10789697965449149,0.08709,0.10080299999999998,0.013712999999999975
1.5796675400194997,1.5776588374220402,-0.002008702597459555,2.5968817095641565,2.628700530700976,0.03181882113681933,5.199792,5.199792,0.0,120.00480019200768,120.00480019200768,0.0,624.0,624.0,0.0,2.8957391844552944,2.745583428317069,-0.15015575613822563,296.81593994667577,270.96782026753425,-25.84811967914152,0.21066240614648743,0.21059012269645314,-7.228345003429393e-05,7,0.8608325592948719,0.8519784358974359,-0.008854123397435965,0.7115018129615059,0.6426334009176166,-0.06886841204388938,69.58566400000001,76.94197299999999,7.356308999999982,0.1370523802579402,0.12378666592909944,-0.013265714328840758,0.09574399999999994,0.13233499999999998,0.03659100000000004
1.8149835467351607,1.8737366902582275,0.05875314352306682,2.565785554539639,2.857129330803078,0.29134377626343877,3.199872,2.599896,-0.5999759999999998,120.00480019200768,120.00480019200768,0.0,384.0,312.0,-72.0,12.609918019193874,12.093153750549854,-0.5167642686440193,1085.3420368739696,1130.1454535833134,44.803416709343765,0.8097608793293497,0.6969268310623948,-0.11283404826695487,8,0.9367279192708334,0.946559689102564,0.009831769831730619,0.4838661293407437,0.3862514941092753,-0.0976146352314684,54.87338799999999,39.481156,-15.392231999999993,0.15160902916766603,0.14904190795642447,-0.0025671212112415576,0.40308599999999994,0.41282700000000006,0.00974100000000011
1.5953498073603438,1.59198159455053,-0.0033682128098138087,3.0412274764747793,2.992421247618313,-0.04880622885646613,6.599736,7.199712,0.5999759999999998,120.00480019200768,120.00480019200768,0.0,792.0,864.0,72.0,5.559245150784454,5.364620766998851,-0.19462438378560343,606.3286968549302,583.3404082746771,-22.988288580253084,0.6141913171582913,0.6205878264891392,0.006396509330847899,9,0.9149150972222222,0.9029517627314816,-0.011963334490740607,3.1824150779585128,3.811617092421522,0.6292020144630093,352.7830650000001,241.89400299999997,-110.88906200000011,0.48281300323444226,0.5300258952311541,0.0472128919967118,0.08533000000000002,0.052683000000000035,-0.03264699999999998
