all_joint_vertical_range_delta_pct,arm_motion_range_delta_pct,case,duration_sec_delta_pct,mean_joint_acceleration_delta_pct,mean_joint_jerk_delta_pct,mean_joint_velocity_delta_pct,prompt,root_height_mean_delta_pct,root_rotation_amount_delta_pct,root_speed_mean_delta_pct,root_vertical_range_delta_pct,style_proxy_total,style_proxy_win_rate,style_proxy_wins
,,slow_deliberate,,3.423182992931374,2.9908415197273617,2.152653560963017,A person walks forward slowly and deliberately.,,,1.8828044342351773,,4,1.0,4
,-4.342687047219447,graceful_dance,,,-42.59775371833257,,A person performs a graceful dance motion.,,-22.00193730926742,,164.03260994373633,4,0.25,1
,5.933369023643694,tai_chi,88.46153846153847,,,,A person moves like doing tai chi.,,322.8353802875258,-45.662053230944814,,4,0.75,3
-1.745805101091314,23.226454669346666,energetic_jump,,-10.713060905794732,,-0.601455563782713,A person jumps energetically.,,,72.64858661660074,14.644517547123975,6,0.5,3
,,heavy_tired,,,6.912486724304352,9.356993774514994,A person walks in a tired and heavy style.,0.49492891874843,,5.9009013641900445,,4,1.0,4
