all_joint_vertical_range,arm_motion_range,duration_sec,file,fps,frames,mean_joint_acceleration,mean_joint_jerk,mean_joint_velocity,model,prompt_index,root_height_mean,root_path_length,root_rotation_amount,root_speed_mean,root_vertical_range
1.5864133780575695,2.8241553403568105,2.3999040000000003,outputs\baseline\project_prompts\evaluate_gpt0.bvh,120.00480019200768,288.0,9.369430702226778,958.2818907548609,1.306378149041487,baseline,0,0.8625654305555557,2.7831414028287877,108.847872,1.1637293656884062,0.104931
1.6865197048791178,2.522679033827289,3.399864,outputs\finetune_lora_200_samples\evaluate_lora0.bvh,120.00480019200768,408.0,8.241612342253028,880.6260799336472,0.8834736121540786,lora,0,0.9680845024509804,2.588111703423935,80.943654,0.7631101421228156,0.184828
1.5825766159235812,2.8130267573112935,9.399624,outputs\baseline\project_prompts\evaluate_gpt1.bvh,120.00480019200768,1128.0,1.6773763579201681,168.05588471222947,0.1995574142232282,baseline,1,0.9017504441489361,1.470450985941576,266.00159199999996,0.1565760219698842,0.04627099999999995
1.58217630819392,2.8228147415412024,9.399624,outputs\finetune_lora_200_samples\evaluate_lora1.bvh,120.00480019200768,1128.0,1.662915399823101,166.36432430977277,0.19420471300321804,lora,1,0.9013768953900708,1.4232429829091515,263.889412,0.15154923672465814,0.04647899999999994
1.5763259983926992,3.3806547721981435,9.799608000000001,outputs\baseline\project_prompts\evaluate_gpt2.bvh,120.00480019200768,1176.0,4.1053501832551555,428.0966682374835,0.3117094568626087,baseline,2,0.7185645782312925,2.4213285270485194,226.988713,0.24729450730865182,0.354873
1.5816153962821566,3.279894577056564,9.799608000000001,outputs\finetune_lora_200_samples\evaluate_lora2.bvh,120.00480019200768,1176.0,4.863961834228453,527.8360338394821,0.3875749380439189,lora,2,0.7157764583333334,2.9952201006857244,268.568742,0.3059070550756387,0.361673
2.048896358788306,4.026313346217249,3.599856,outputs\baseline\project_prompts\evaluate_gpt3.bvh,120.00480019200768,432.0,8.644344033715733,728.3403425723639,0.7716521706699991,baseline,3,0.8870591875,1.0526899038052457,95.901008,0.29310404076633945,0.543908
1.72345442639436,2.2909297278741416,2.599896,outputs\finetune_lora_200_samples\evaluate_lora3.bvh,120.00480019200768,312.0,5.742170509696402,513.701276573095,0.3836958598643338,lora,3,0.8810631987179486,0.4058833671834765,23.912879999999998,0.15661721022544176,0.27090899999999996
1.5855127902030062,3.0575361807888024,5.199792,outputs\baseline\project_prompts\evaluate_gpt4.bvh,120.00480019200768,624.0,7.963582236057096,812.6378643243735,0.97542620510221,baseline,4,0.8819107131410256,4.409830063248285,296.246804,0.8494394472244287,0.105402
1.5855127902030062,3.0575361807888024,5.199792,outputs\finetune_lora_200_samples\evaluate_lora4.bvh,120.00480019200768,624.0,7.963582236057096,812.6378643243735,0.97542620510221,lora,4,0.8819107131410256,4.409830063248285,296.246804,0.8494394472244287,0.105402
1.588556296028559,2.2253581511142313,8.199672,outputs\baseline\project_prompts\evaluate_gpt5.bvh,120.00480019200768,984.0,1.8737813324919173,190.84259876565972,0.26518810642465424,baseline,5,0.9121784786585366,2.0208255855092525,48.704906,0.24670271679749214,0.03797499999999998
1.5878065522525917,2.2171442863879953,8.199672,outputs\finetune_lora_200_samples\evaluate_lora5.bvh,120.00480019200768,984.0,1.809638368593331,185.13479908444967,0.2594795252084535,lora,5,0.912256281504065,1.9827773917771254,49.15129199999999,0.2420577871062503,0.031725
1.7949561659074889,4.009306582276267,8.399664,outputs\baseline\project_prompts\evaluate_gpt6.bvh,120.00480019200768,1008.0,5.791286076514404,573.1027931675259,0.5436428181867842,baseline,6,0.9157961140873015,1.857169300272996,238.122022,0.2213199908659301,0.08709
1.8017558802708549,3.8351949446444387,6.799728,outputs\finetune_lora_200_samples\evaluate_lora6.bvh,120.00480019200768,816.0,8.753729229454809,817.2317095539134,0.5724530644791352,lora,6,0.9259142843137254,1.61081907688503,185.73056400000002,0.23718530241357333,0.22994599999999998
1.5796675400194997,2.5968817095641565,5.199792,outputs\baseline\project_prompts\evaluate_gpt7.bvh,120.00480019200768,624.0,2.8957391844552944,296.81593994667577,0.21066240614648743,baseline,7,0.8608325592948719,0.7115018129615059,69.58566400000001,0.1370523802579402,0.09574399999999994
1.5746657468594496,2.750964284500105,9.799608000000001,outputs\finetune_lora_200_samples\evaluate_lora7.bvh,120.00480019200768,1176.0,4.473578726080813,453.94174343466346,0.3713522289575734,lora,7,0.8296480102040816,1.9546646479996364,294.232807,0.19963331108559776,0.16867299999999996
1.8149835467351607,2.565785554539639,3.199872,outputs\baseline\project_prompts\evaluate_gpt8.bvh,120.00480019200768,384.0,12.609918019193874,1085.3420368739696,0.8097608793293497,baseline,8,0.9367279192708334,0.4838661293407437,54.87338799999999,0.15160902916766603,0.40308599999999994
1.7832974713922902,3.1617265732774333,2.599896,outputs\finetune_lora_200_samples\evaluate_lora8.bvh,120.00480019200768,312.0,11.259009821626849,974.7578054779401,0.8048905274672875,lora,8,0.8878311378205129,0.678343807818877,43.991583,0.26175084604112536,0.4621160000000001
1.5953498073603438,3.0412274764747793,6.599736,outputs\baseline\project_prompts\evaluate_gpt9.bvh,120.00480019200768,792.0,5.559245150784454,606.3286968549302,0.6141913171582913,baseline,9,0.9149150972222222,3.1824150779585128,352.7830650000001,0.48281300323444226,0.08533000000000002
1.5931896660171323,2.97559573149097,7.199712,outputs\finetune_lora_200_samples\evaluate_lora9.bvh,120.00480019200768,864.0,5.089043981080549,564.4163061791855,0.5567214738481784,lora,9,0.9103869178240741,3.267206609948706,212.190268,0.45432268414009414,0.05127599999999999
