stage,epoch,display_epoch,mean_loss
initial,0,0,0.37493275241344237
initial,1,1,0.31100136946188284
initial,2,2,0.31650431366171683
initial,3,3,0.29018682284047825
initial,4,4,0.27208974066306835
continued,0,5,0.22893006689846512
continued,1,6,0.201771442713798
