run,examples,teacher_samples,style_proxy_wins,style_proxy_total,style_proxy_win_rate,final_epoch_mean_loss,selected_second_candidate_count
original_200_cont,200,1,18,22,0.818182,,
humanml_selected_200,200,2,15,22,0.681818,0.272090,1
