all_joint_vertical_range,arm_motion_range,duration_sec,file,fps,frames,mean_joint_acceleration,mean_joint_jerk,mean_joint_velocity,model,prompt_index,root_height_mean,root_path_length,root_rotation_amount,root_speed_mean,root_vertical_range
1.588556296028559,2.2253581511142313,8.199672,outputs\baseline\project_prompts\evaluate_gpt5.bvh,120.00480019200768,984.0,1.8737813324919173,190.84259876565972,0.26518810642465424,baseline,5,0.9121784786585366,2.0208255855092525,48.704906,0.24670271679749214,0.03797499999999998
1.5878065522525917,2.2171442863879953,8.199672,outputs\finetune_lora_200_epoch3_seed7_styles\evaluate_lora5.bvh,120.00480019200768,984.0,1.809638368593331,185.13479908444967,0.2594795252084535,lora,5,0.912256281504065,1.9827773917771254,49.15129199999999,0.2420577871062503,0.031725
1.7949561659074889,4.009306582276267,8.399664,outputs\baseline\project_prompts\evaluate_gpt6.bvh,120.00480019200768,1008.0,5.791286076514404,573.1027931675259,0.5436428181867842,baseline,6,0.9157961140873015,1.857169300272996,238.122022,0.2213199908659301,0.08709
1.7978494069829312,4.309241095792801,8.399664,outputs\finetune_lora_200_epoch3_seed7_styles\evaluate_lora6.bvh,120.00480019200768,1008.0,6.515784073807427,648.6918492000982,0.5552352588115338,lora,6,0.9125113075396825,1.952596895912508,204.60359799999998,0.23269215526267623,0.09676399999999996
1.5796675400194997,2.5968817095641565,5.199792,outputs\baseline\project_prompts\evaluate_gpt7.bvh,120.00480019200768,624.0,2.8957391844552944,296.81593994667577,0.21066240614648743,baseline,7,0.8608325592948719,0.7115018129615059,69.58566400000001,0.1370523802579402,0.09574399999999994
1.574328995473663,2.353848812260081,2.3999040000000003,outputs\finetune_lora_200_epoch3_seed7_styles\evaluate_lora7.bvh,120.00480019200768,288.0,3.6836458090368915,345.92148265201683,0.28244683406366816,lora,7,0.8691297604166667,0.3817139237417804,41.519254000000004,0.15960802490989412,0.08390600000000004
1.8149835467351607,2.565785554539639,3.199872,outputs\baseline\project_prompts\evaluate_gpt8.bvh,120.00480019200768,384.0,12.609918019193874,1085.3420368739696,0.8097608793293497,baseline,8,0.9367279192708334,0.4838661293407437,54.87338799999999,0.15160902916766603,0.40308599999999994
1.859809559499391,3.143669387195367,2.799888,outputs\finetune_lora_200_epoch3_seed7_styles\evaluate_lora8.bvh,120.00480019200768,336.0,11.16424565172376,977.2750744467594,0.772448076420038,lora,8,0.8434000476190475,0.6021505086667635,52.085654000000005,0.21570433277036044,0.5871079999999999
1.5953498073603438,3.0412274764747793,6.599736,outputs\baseline\project_prompts\evaluate_gpt9.bvh,120.00480019200768,792.0,5.559245150784454,606.3286968549302,0.6141913171582913,baseline,9,0.9149150972222222,3.1824150779585128,352.7830650000001,0.48281300323444226,0.08533000000000002
1.5841840143547457,2.94733615857962,6.599736,outputs\finetune_lora_200_epoch3_seed7_styles\evaluate_lora9.bvh,120.00480019200768,792.0,6.520582500472388,717.708672976944,0.7792582949786071,lora,9,0.8910173257575756,4.537677796734249,211.60042599999997,0.688423662873329,0.08130799999999994
