all_joint_vertical_range,arm_motion_range,duration_sec,file,fps,frames,mean_joint_acceleration,mean_joint_jerk,mean_joint_velocity,model,prompt_index,root_height_mean,root_path_length,root_rotation_amount,root_speed_mean,root_vertical_range
1.5864133780575695,2.8241553403568105,2.3999040000000003,outputs\baseline\project_prompts\evaluate_gpt0.bvh,120.00480019200768,288.0,9.369430702226778,958.2818907548609,1.306378149041487,baseline,0,0.8625654305555557,2.7831414028287877,108.847872,1.1637293656884062,0.104931
1.58932945891534,2.791471897138277,2.3999040000000003,outputs\finetune_lora_200_epoch0_samples\evaluate_lora0.bvh,120.00480019200768,288.0,9.185902417553928,911.1916188375538,1.3008807931013449,lora,0,0.8631673194444445,2.7563090162122674,103.164159,1.1525098005504615,0.10660100000000006
1.5825766159235812,2.8130267573112935,9.399624,outputs\baseline\project_prompts\evaluate_gpt1.bvh,120.00480019200768,1128.0,1.6773763579201681,168.05588471222947,0.1995574142232282,baseline,1,0.9017504441489361,1.470450985941576,266.00159199999996,0.1565760219698842,0.04627099999999995
1.5838233893240012,2.8271744480724017,9.399624,outputs\finetune_lora_200_epoch0_samples\evaluate_lora1.bvh,120.00480019200768,1128.0,1.746234648902861,178.32313776835977,0.19561173339432145,lora,1,0.9012694734042553,1.4134362439561636,261.900887,0.15050499914827084,0.047514999999999974
1.5763259983926992,3.3806547721981435,9.799608000000001,outputs\baseline\project_prompts\evaluate_gpt2.bvh,120.00480019200768,1176.0,4.1053501832551555,428.0966682374835,0.3117094568626087,baseline,2,0.7185645782312925,2.4213285270485194,226.988713,0.24729450730865182,0.354873
1.5770979897401514,3.2278197992017685,9.799608000000001,outputs\finetune_lora_200_epoch0_samples\evaluate_lora2.bvh,120.00480019200768,1176.0,4.445009666911082,477.52022278627726,0.3340121320599404,lora,2,0.7194158316326531,2.5426386476597296,172.497622,0.25968412159394244,0.36171999999999993
2.048896358788306,4.026313346217249,3.599856,outputs\baseline\project_prompts\evaluate_gpt3.bvh,120.00480019200768,432.0,8.644344033715733,728.3403425723639,0.7716521706699991,baseline,3,0.8870591875,1.0526899038052457,95.901008,0.29310404076633945,0.543908
2.0499833123442364,4.013977926730899,3.599856,outputs\finetune_lora_200_epoch0_samples\evaluate_lora3.bvh,120.00480019200768,432.0,8.63482208678295,725.2170536300001,0.7722817248462281,lora,3,0.8871736782407408,1.0343041067693395,94.26593099999997,0.2879848205815025,0.5427960000000001
1.5855127902030062,3.0575361807888024,5.199792,outputs\baseline\project_prompts\evaluate_gpt4.bvh,120.00480019200768,624.0,7.963582236057096,812.6378643243735,0.97542620510221,baseline,4,0.8819107131410256,4.409830063248285,296.246804,0.8494394472244287,0.105402
1.5805977713772854,2.878614893516124,9.799608000000001,outputs\finetune_lora_200_epoch0_samples\evaluate_lora4.bvh,120.00480019200768,1176.0,15.957961541960122,1508.6907224927907,1.742378669876574,lora,4,0.8395822210884354,15.020033812829102,758.222352,1.5340222609240473,0.16536099999999998
1.588556296028559,2.2253581511142313,8.199672,outputs\baseline\project_prompts\evaluate_gpt5.bvh,120.00480019200768,984.0,1.8737813324919173,190.84259876565972,0.26518810642465424,baseline,5,0.9121784786585366,2.0208255855092525,48.704906,0.24670271679749214,0.03797499999999998
1.5878065522525917,2.2171442863879953,8.199672,outputs\finetune_lora_200_epoch0_samples\evaluate_lora5.bvh,120.00480019200768,984.0,1.809638368593331,185.13479908444967,0.2594795252084535,lora,5,0.912256281504065,1.9827773917771254,49.15129199999999,0.2420577871062503,0.031725
1.7949561659074889,4.009306582276267,8.399664,outputs\baseline\project_prompts\evaluate_gpt6.bvh,120.00480019200768,1008.0,5.791286076514404,573.1027931675259,0.5436428181867842,baseline,6,0.9157961140873015,1.857169300272996,238.122022,0.2213199908659301,0.08709
1.7116093516705857,3.9772678902867664,9.199632,outputs\finetune_lora_200_epoch0_samples\evaluate_lora6.bvh,120.00480019200768,1104.0,4.631942074958354,466.2288728094085,0.4165869528368611,lora,6,0.9222042463768115,1.5110503633428047,346.172425,0.16440008788124558,0.09782100000000005
1.5796675400194997,2.5968817095641565,5.199792,outputs\baseline\project_prompts\evaluate_gpt7.bvh,120.00480019200768,624.0,2.8957391844552944,296.81593994667577,0.21066240614648743,baseline,7,0.8608325592948719,0.7115018129615059,69.58566400000001,0.1370523802579402,0.09574399999999994
1.5757761778311221,3.2109831396562973,9.799608000000001,outputs\finetune_lora_200_epoch0_samples\evaluate_lora7.bvh,120.00480019200768,1176.0,3.03878310464744,305.303267169252,0.2605712732828596,lora,7,0.8673989506802722,1.7283226932639533,185.296983,0.17651661231698154,0.13949699999999998
1.8149835467351607,2.565785554539639,3.199872,outputs\baseline\project_prompts\evaluate_gpt8.bvh,120.00480019200768,384.0,12.609918019193874,1085.3420368739696,0.8097608793293497,baseline,8,0.9367279192708334,0.4838661293407437,54.87338799999999,0.15160902916766603,0.40308599999999994
1.7475610466653781,2.4168969084342584,3.99984,outputs\finetune_lora_200_epoch0_samples\evaluate_lora8.bvh,120.00480019200768,480.0,7.4858352783069675,664.3644885417151,0.4799134075754531,lora,8,0.9035769166666666,0.6527740940268789,39.957931,0.16354076142842264,0.34686300000000003
1.5953498073603438,3.0412274764747793,6.599736,outputs\baseline\project_prompts\evaluate_gpt9.bvh,120.00480019200768,792.0,5.559245150784454,606.3286968549302,0.6141913171582913,baseline,9,0.9149150972222222,3.1824150779585128,352.7830650000001,0.48281300323444226,0.08533000000000002
1.5901179922876447,3.248836872588398,9.799608000000001,outputs\finetune_lora_200_epoch0_samples\evaluate_lora9.bvh,120.00480019200768,1176.0,5.945377389704715,617.014493475814,0.7987241577946333,lora,9,0.8908235629251701,6.686568543668866,544.8025299999999,0.6829109123856562,0.09063700000000008
