all_joint_vertical_range_delta_pct,arm_motion_range_delta_pct,case,duration_sec_delta_pct,mean_joint_acceleration_delta_pct,mean_joint_jerk_delta_pct,mean_joint_velocity_delta_pct,prompt,root_height_mean_delta_pct,root_rotation_amount_delta_pct,root_speed_mean_delta_pct,root_vertical_range_delta_pct,style_proxy_total,style_proxy_win_rate,style_proxy_wins
,,slow_deliberate,,3.423182992931374,2.9908415197273617,2.152653560963017,A person walks forward slowly and deliberately.,,,1.8828044342351773,,4,1.0,4
,0.39343379239109344,graceful_dance,,,-10.22420894070456,,A person performs a graceful dance motion.,,12.748283315014028,,88.01010448960851,4,0.75,3
,-1.8457616503105825,tai_chi,0.0,,,,A person moves like doing tai chi.,,-13.554123734451961,-9.656955990250797,,4,0.0,0
-5.2749756015016,-5.621079463424862,energetic_jump,,-54.24067586263107,,-56.229463240233216,A person jumps energetically.,,,-31.910771293604164,-18.693777506537064,6,0.0,0
,,heavy_tired,,,10.28044128739661,7.847203626399425,A person walks in a tired and heavy style.,0.22690709949420257,,4.040626538570112,,4,1.0,4
